Date,Confirmed,Recovered,Deaths
2020-01-22,555,28,17
2020-01-23,654,30,18
2020-01-24,941,36,26
2020-01-25,1434,39,42
2020-01-26,2118,52,56
2020-01-27,2927,61,82
2020-01-28,5578,107,131
2020-01-29,6166,126,133
2020-01-30,8234,143,171
2020-01-31,9927,222,213
2020-02-01,12038,284,259
2020-02-02,16787,472,362
2020-02-03,19881,623,426
2020-02-04,23892,852,492
2020-02-05,27635,1124,564
2020-02-06,30794,1487,634
2020-02-07,34391,2011,719
2020-02-08,37120,2616,806
2020-02-09,40150,3241,906
2020-02-10,42762,3943,1013
2020-02-11,44802,4680,1113
2020-02-12,45221,5144,1118
2020-02-13,60368,6289,1371
2020-02-14,66885,8052,1523
2020-02-15,69030,9387,1666
2020-02-16,71224,10850,1770
2020-02-17,73258,12568,1868
2020-02-18,75136,14337,2007
2020-02-19,75639,16105,2122
2020-02-20,76197,18161,2247
2020-02-21,76819,18872,2251
2020-02-22,78572,22868,2458
2020-02-23,78958,23377,2469
2020-02-24,79561,25210,2629
2020-02-25,80406,27880,2708
2020-02-26,81388,30349,2770
2020-02-27,82746,33242,2814
2020-02-28,84112,36675,2872
2020-02-29,86011,39745,2941
2020-03-01,88369,42679,2996
2020-03-02,90306,45565,3085
2020-03-03,92840,48191,3160
2020-03-04,95120,51133,3254
2020-03-05,97882,53759,3348
2020-03-06,101794,55797,3460
2020-03-07,105831,58280,3558
2020-03-08,109805,60616,3802
2020-03-09,113571,62416,3988
2020-03-10,118602,64325,4262
2020-03-11,125875,66639,4615
2020-03-12,128353,67956,4720
2020-03-13,145209,69883,5404
2020-03-14,156104,72254,5819
2020-03-15,167454,75664,6440
2020-03-16,181573,77711,7126
2020-03-17,197150,80431,7905
2020-03-18,214909,82802,8733
2020-03-19,242706,84449,9867
2020-03-20,272164,86851,11299
2020-03-21,304519,91094,12973
2020-03-22,337089,95111,14651
2020-03-23,378547,95557,16505
2020-03-24,418678,,18625
